Year,Gov_agency_Cod,Sup_Gov_agency_Cod,Planned,Released,Gov_agency_Name,Sup_Gov_agency_Name,Paid_out
2014,20101,20000,"1.207.732.252,04","1.080.446.271,42",Presidencia da Republica,Presidencia da Republica,"1.073.206.586,35"
2014,20116,20000,"188.922.008,78","177.563.751,32",Fundo de Imprensa Nacional,Presidencia da Republica,"177.558.779,52"
2014,20122,81000,"87.360.033,22","30.141.173,42",Secretaria Nacional de Politicas para Mulheres ,"Ministerio da Mulher, Familia e Direitos Humanos","30.127.407,52"
2014,20129,22000,"1.427.440.589,25","1.024.935.703,88",Secretaria Especial de Agricultura Familiar e do Desenvolvimento Agrario ,"Ministerio da Agricultura, Pecuaria e Abastecimento","1.022.675.533,51"
2014,20202,25000,"42.617.886,50","39.935.056,75",Fundacao Escola Nacional de Administracao Publica,Ministerio da Economia,"39.935.056,75"
2014,20203,55000,"601.546.637,20","106.897.647,67",Agencia Nacional do Cinema,Ministerio da Cidadania,"106.748.270,44"
2014,20301,24000,"886.414.200,57","857.097.336,39",Comissao Nacional de Energia Nuclear,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","840.630.408,69"
2014,20302,32000,"317.603.403,59","317.603.403,59",Nuclebras Equipamentos Pesados S.A.,Ministerio de Minas e Energia,"291.305.978,28"
2014,20303,32000,"727.135.546,67","565.168.242,70",Industrias Nucleares do Brasil,Ministerio de Minas e Energia,"563.219.995,76"
2014,20402,24000,"125.149.724,40","50.724.125,33",Agencia Espacial Brasileira,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","50.695.145,33"
2014,20403,55000,"40.172.198,35","37.826.715,33",Fundacao Casa de Rui Barbosa,Ministerio da Cidadania,"37.691.705,33"
2014,20404,55000,"110.377.289,94","91.923.827,30",Fundacao Biblioteca Nacional,Ministerio da Cidadania,"91.921.301,19"
2014,20408,55000,"26.614.099,78","20.039.578,55",Fundacao Cultural Palmares,Ministerio da Cidadania,"19.923.204,70"
2014,20411,55000,"402.469.987,55","282.036.604,66",Instituto do Patrimonio Historico e Artistico Nacional,Ministerio da Cidadania,"271.929.198,72"
2014,20412,55000,"160.624.810,69","117.249.151,99",Fundacao Nacional de Artes,Ministerio da Cidadania,"117.236.848,90"
2014,20415,20000,"544.864.633,97","477.560.381,71",Empresa Brasil de Comunicacao,Presidencia da Republica,"457.152.003,71"
2014,20501,24000,"3.732.532.995,56","2.804.913.901,24",Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","2.737.416.490,27"
2014,20502,24000,"5.925.207.329,75","5.827.691.547,80",Financiadora de Estudos e Projetos,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","5.809.585.355,44"
2014,20603,25000,"183.245.896,43","152.835.760,91",Superintendencia da Zona Franca de Manaus,Ministerio da Economia,"151.720.113,59"
2014,20604,54000,"145.521.203,46","130.102.683,83",Instituto Brasileiro de Turismo,Ministerio do Turismo,"129.938.920,84"
2014,20701,44000,"1.237.039.937,24","1.206.848.908,65",Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renovaveis,Ministerio do Meio Ambiente,"1.206.848.908,65"
2014,22201,22000,"2.679.132.289,08","1.786.217.843,71",Instituto Nacional de Colonizacao e Reforma Agraria,"Ministerio da Agricultura, Pecuaria e Abastecimento","1.722.269.166,13"
2014,22202,22000,"2.797.987.302,24","2.609.027.092,15",Empresa Brasileira de Pesquisa Agropecuaria,"Ministerio da Agricultura, Pecuaria e Abastecimento","2.601.702.280,52"
2014,22203,53000,"1.679.830.073,35","806.854.489,81",Companhia de Desenvolvimento dos Vales do Sao Francisco e do Parnaiba,Ministerio do Desenvolvimento Regional,"643.431.683,22"
2014,22204,53000,"1.135.485.148,39","877.308.612,62",Departamento Nacional de Obras Contra as Secas,Ministerio do Desenvolvimento Regional,"820.541.541,35"
2014,22211,22000,"2.190.795.467,38","1.913.898.329,99",Companhia Nacional de Abastecimento,"Ministerio da Agricultura, Pecuaria e Abastecimento","1.875.447.828,64"
2014,22905,22000,"3.626.361.853,00","3.092.826.652,01",Fundo de Defesa da Economia Cafeeira,"Ministerio da Agricultura, Pecuaria e Abastecimento","3.087.255.638,95"
2014,24208,20000,"19.029.231,31","16.222.436,32",Instituto Nacional de Tecnologia da Informacao,Presidencia da Republica,"16.222.436,32"
2014,24209,24000,"111.154.956,40","86.752.682,61",Centro Nacional de Tecnologia Eletronica Avancada S.A.,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","86.183.296,56"
2014,24901,24000,"1.226.353.596,62","834.602.744,65",Fundo Nacional de Desenvolvimento Cientifico e Tecnologico,"Ministerio da Ciencia, Tecnologia, Inovacoes e Comunicacoes","546.332.259,55"
2014,25000,25000,"1.197.936.097.604,66","1.170.875.314.076,23",Ministerio da Economia - Unidades com vinculo direto,Ministerio da Economia,"1.170.509.656.022,95"
2014,25201,25000,"2.799.845.567,62","2.799.845.567,62",Banco Central do Brasil - Orcamento Fiscal e Seguridade Social,Ministerio da Economia,"2.799.845.567,62"
2014,25203,25000,"204.215.937,63","194.042.088,17",Comissao de Valores Mobiliarios,Ministerio da Economia,"193.259.702,43"
2014,25205,25000,"2.027.703.978,05","1.977.538.079,69",Fundacao Instituto Brasileiro de Geografia e Estatistica,Ministerio da Economia,"1.975.802.647,20"
2014,25207,25000,"2.327.377.553,14","2.222.829.477,87",Servico Federal de Processamento de Dados,Ministerio da Economia,"1.913.241.277,88"
2014,25208,25000,"195.970.525,57","191.058.935,11",Superintendencia de Seguros Privados,Ministerio da Economia,"191.058.935,11"
2014,25211,25000,"2.426.903.217,07","2.182.263.334,54",Casa da Moeda do Brasil,Ministerio da Economia,"1.961.301.298,83"
2014,25901,25000,"1.751.813.745,00","198.519.417,01",Fundo de Compensacao de Variacoes Salariais ,Ministerio da Economia,"198.519.417,01"
2014,25904,25000,"1.118.739,85","1.118.739,85",Fundo de Estabilidade do Seguro Rural,Ministerio da Economia,"1.117.239,47"
2014,25914,25000,"18.764.787,25","15.772.819,30",Fundo de Garantia a† Exportacao,Ministerio da Economia,"15.772.819,30"
2014,25915,25000,"11.664.209.433,79","11.538.489.911,38",Fundo Constitucional do Distrito Federal,Ministerio da Economia,"11.528.468.651,36"
2014,25916,25000,"6.831.735,00","1.314.997,50",Fundo Contingente da Extinta RFFSA-FCMP,Ministerio da Economia,"1.235.371,10"
2014,26000,26000,"1.238.790.809,97","1.070.440.928,32",Ministerio da Educacao - Unidades com vinculo direto,Ministerio da Educacao,"1.067.504.209,55"
2014,26201,26000,"482.135.829,51","469.941.604,32",Colegio Pedro II,Ministerio da Educacao,"464.822.910,40"
2014,26230,26000,"211.505.729,05","178.588.020,93",Fundacao Universidade Federal do Vale do Sao Francisco,Ministerio da Educacao,"169.944.001,68"
2014,26231,26000,"755.033.634,50","720.493.792,42",Universidade Federal de Alagoas,Ministerio da Educacao,"712.592.314,22"
2014,26232,26000,"1.609.313.881,30","1.555.343.278,10",Universidade Federal da Bahia,Ministerio da Educacao,"1.519.213.414,09"
2014,26233,26000,"1.452.827.709,51","1.360.026.773,96",Universidade Federal do Ceara,Ministerio da Educacao,"1.351.016.452,25"
2014,26234,26000,"916.948.825,45","883.749.535,18",Universidade Federal do Espirito Santo,Ministerio da Educacao,"876.437.567,41"
2014,26235,26000,"1.196.066.821,44","1.122.934.595,65",Universidade Federal de Goias,Ministerio da Educacao,"1.117.768.036,55"
2014,26236,26000,"1.829.430.122,10","1.774.279.786,44",Universidade Federal Fluminense,Ministerio da Educacao,"1.769.719.504,72"
2014,26237,26000,"895.077.964,94","794.951.236,81",Universidade Federal de Juiz de Fora,Ministerio da Educacao,"779.521.931,98"
2014,26238,26000,"2.117.194.505,68","2.023.448.662,34",Universidade Federal de Minas Gerais,Ministerio da Educacao,"2.002.568.644,77"
