dates,nearby_close
2/4/2008,1326
2/5/2008,1323
2/6/2008,1318.5
2/7/2008,1331.5
2/8/2008,1339
2/11/2008,1326
2/12/2008,1321
2/13/2008,1328.5
2/14/2008,1368
2/15/2008,1373.75
2/18/2008,1373.75
2/19/2008,1398.5
2/20/2008,1397.75
2/21/2008,1405.75
2/22/2008,1420
3/5/2008,1490.5
3/6/2008,1443
3/7/2008,1341
3/10/2008,1388
3/11/2008,1392.5
3/12/2008,1379
3/13/2008,1387
3/14/2008,1340
3/17/2008,1302.75
3/18/2008,1307
3/19/2008,1257
3/20/2008,1207
3/21/2008,1207
3/24/2008,1257
3/25/2008,1307
3/26/2008,1352
3/27/2008,1327.25
3/28/2008,1267.25
3/31/2008,1197.25
4/1/2008,1211
4/2/2008,1243
4/3/2008,1257
4/4/2008,1277
4/7/2008,1255
4/8/2008,1251.5
4/9/2008,1313
4/10/2008,1356
4/11/2008,1332.5
4/14/2008,1372.5
4/15/2008,1380
4/16/2008,1344.75
4/17/2008,1350.5
4/18/2008,1361.5
4/21/2008,1315.5
4/22/2008,1374.75
4/23/2008,1372
4/24/2008,1348.75
4/25/2008,1325.75
4/28/2008,1283.5
4/29/2008,1279.5
4/30/2008,1301.75
5/1/2008,1258.75
5/2/2008,1292.5
5/5/2008,1273
5/6/2008,1264.5
5/7/2008,1297.25
5/8/2008,1298.25
5/9/2008,1349.5
5/12/2008,1335
5/13/2008,1374.5
5/14/2008,1371
5/15/2008,1347.5
5/16/2008,1378
5/19/2008,1333
5/20/2008,1331.5
5/21/2008,1349
5/22/2008,1324.75
5/23/2008,1368
5/26/2008,1368
5/27/2008,1347.75
5/28/2008,1372.75
5/29/2008,1322.75
5/30/2008,1363.5
6/2/2008,1365.5
6/3/2008,1359.5
6/4/2008,1389
6/5/2008,1452
6/6/2008,1457.5
6/9/2008,1452
6/10/2008,1446.5
6/11/2008,1516.5
6/12/2008,1536.5
6/13/2008,1560
6/16/2008,1534
6/17/2008,1558
6/18/2008,1556
6/19/2008,1545.5
6/20/2008,1532.5
6/23/2008,1515
6/24/2008,1501
6/25/2008,1537.5
6/26/2008,1574.25
6/27/2008,1581.5
6/30/2008,1605
7/1/2008,1628
7/2/2008,1645.75
7/3/2008,1658
7/4/2008,1658
7/7/2008,1589
